"Timestamp","BTOffset","Init_Angles","GraspSteps","CumulativeReward","checkpointVisitedTimes","Vaild_CP","First_CP_Step"
"2024-10-03 09:06:09","-0.00611152,0.02205336,0.1423743","-2.692038,20.81101,27.36048,18.06806,52.35492,9.681319","14","0.2591999","48,48,48,48,47,47,44,25,4,0,0,0,0","8","3"
"2024-10-03 09:06:21","0.001788164,0.03605658,0.1376956","5.93587,14.99449,37.01428,17.74224,39.51115,31.12978","8","0.3755499","43,43,43,43,42,42,42,41,34,19,5,1,0","9","3"
"2024-10-03 09:06:36","-0.005538584,0.02095933,0.1302318","6.481476,16.99478,34.4458,29.35425,57.79526,0.06459294","18","0.3511499","47,47,47,46,46,45,45,38,31,11,0,0,0","9","4"
"2024-10-03 09:06:50","0.00788522,0.04620763,0.1288115","13.42914,23.56932,23.82021,24.06487,56.96164,6.637995","16","0.3826499","40,40,40,40,40,40,38,37,36,5,1,0,0","9","4"
"2024-10-03 09:07:03","-0.01762921,0.04312326,0.1355534","-7.605162,17.48234,32.80437,24.17884,52.20708,16.92546","10","0.3081499","43,43,43,43,43,42,41,41,25,11,2,1,1","9","3"
"2024-10-03 09:07:16","-0.00620819,0.03331365,0.1293004","-0.2044976,21.04353,27.89367,28.41691,55.08958,10.70584","12","0.2977","45,45,45,45,44,43,42,38,9,4,2,0,0","8","3"
"2024-10-03 09:07:31","0.0102505,0.02546283,0.1368412","5.744769,23.88463,22.57449,-12.26243,56.18993,-90.00372","20","0.2728","47,47,47,47,47,47,45,29,4,0,0,0,0","8","4"
"2024-10-03 09:07:46","-0.01696355,0.03405737,0.1228896","1.052539,14.5651,38.28988,34.28837,61.63636,10.83988","23","0.2956499","46,46,45,45,45,45,45,36,14,2,1,0,0","8","3"
"2024-10-03 09:07:59","-0.01692847,-0.05113685,0.1197252","-2.596208,52.50921,-19.92735,41.62267,64.244,-68.44754","11","0.02615001","41,38,37,31,20,8,5,1,0,0,0,0,0","4","7"
"2024-10-03 09:08:12","0.01820949,-0.0403607,0.1373741","1.775,47.09695,-9.41336,28.08318,34.06434,-24.14266","13","0.04825","45,45,45,37,32,25,15,8,2,0,0,0,0","6","4"
"2024-10-03 09:08:25","-0.01255134,0.028764,0.1397887","-12.15692,17.01518,32.23696,19.60191,56.51594,13.8561","8","0.20795","45,45,45,45,45,44,42,24,2,1,0,0,0","8","6"
"2024-10-03 09:08:38","-0.0003742296,-0.03905926,0.1229479","-2.613587,45.18327,-7.457544,39.38971,51.91077,-54.44854","11","0.001600001","39,33,12,2,1,0,0,0,0,0,0,0,0","2","5"
